"lnp_id","original_score","original_rank","median_rank","min_rank","max_rank","top1_frequency","top10_frequency","top20_frequency","median_score","min_score","max_score"
"LNP_0048",0.503514472246661,270,308,149,439,0,0,0,0.474918937023,0.359420008656984,0.630335593685289
"LNP_0393",0.50223330576481,271,272,212,341,0,0,0,0.522504261702517,0.431408899041768,0.598724578363083
"LNP_0264",0.502149362549104,272,214.5,26,396,0,0,0,0.576316403941514,0.253483862719929,0.875019677380293
"LNP_0084",0.500478273524488,273,250,168,335,0,0,0,0.542369820112051,0.364705940226729,0.681320365062573
"LNP_0028",0.500394091989365,274,274,192,408,0,0,0,0.5111795839242,0.295764972952144,0.685829433761188
"LNP_0429",0.499571667849873,275,271,95,364,0,0,0,0.513278449676021,0.359463911443504,0.703147220916252
"LNP_0296",0.498662868260908,276,237,106,365,0,0,0,0.55413653075162,0.320078287861508,0.71184825549803
"LNP_0037",0.498631938492873,277,254,175,332,0,0,0,0.538331503047826,0.369084812208945,0.679243051484785
"LNP_0112",0.493995370311682,278,284,208,402,0,0,0,0.500435660159169,0.300958528388408,0.680329247050816
"LNP_0258",0.491572217084224,279,326,155,445,0,0,0,0.458298758302304,0.337517455433353,0.625091151636164
"LNP_0334",0.49031942281511,280,281,203,361,0,0,0,0.510666696352108,0.410413065063806,0.607827802004135
"LNP_0391",0.488096998570963,281,240,64,394,0,0,0,0.5569021425353,0.253923017247576,0.804825873256264
"LNP_0168",0.487958640270686,282,283,204,352,0,0,0,0.501184678249516,0.378377425867359,0.68440856973131
"LNP_0142",0.487728443334693,283,313.5,207,399,0,0,0,0.471981650153011,0.426229544713905,0.547589847490673
"LNP_0171",0.487420155976664,284,285,195,422,0,0,0,0.499899222474462,0.281372392154911,0.685906929913768
"LNP_0389",0.486495671184655,285,273,225,321,0,0,0,0.512500461212888,0.377707422707433,0.675534009650807
"LNP_0081",0.48580946617224,286,325,179,437,0,0,0,0.458839670774253,0.354740185991376,0.609641720533192
"LNP_0436",0.485369264290125,287,285,200,348,0,0,0,0.498567161122522,0.384890762987657,0.686315037735291
"LNP_0092",0.483765401119467,288,288,204,380,0,0,0,0.497693565235078,0.336601102597204,0.680186424868453
"LNP_0049",0.483341764609983,289,320,211,405,0,0,0,0.465645055226524,0.412131805096747,0.549307081970251
"LNP_0482",0.481981608250628,290,290,199,382,0,0,0,0.498334734798958,0.418339863213557,0.614835925851355
